KABUPATEN;UMK
Kota Medan;2969824
Kabupaten Deli Serdang;2938524
Kabupaten Asahan;2593986
Kota Binjai;2409714
Kabupaten Dairi;2307801
Kabupaten Humbang Hasundutan;2326083
Kabupaten Karo;2829558
Kabupaten Labuhan Batu;2668223
Kabupaten Labuhanbatu Selatan;2701106
Kabupaten Labuhanbatu Utara;2644265
Kabupaten Langkat;2498377
Kabupaten Mandailing Natal;2480700
Kabupaten Nias;2395539
Kota Padang Sidempuan;2466325
Kota Pematang Siantar;2305335
Kabupaten Samosir;2459326
Kabupaten Serdang Bedagai;2644265
Kabupaten Batu Bara;2941267
Kota Tanjungbalai;2601073
Kabupaten Tapanuli Selatan;2675368
Kabupaten Tapanuli Utara;2343422
Kabupaten Tapanuli Tengah;2608869
Kabupaten Toba Samosir;2459326
Kabupaten Gunung Sitoli;2399083
Kabupaten Padang Lawas;2521268
Kabupaten Padang Lawas Utara;2550718
Kabupaten Tebing Tinggi;2164991
Kota Sibolga;2768336
